nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Margarete Coelho,F,12/03/1961,81 dias,10 dias,1 dias,58 reuniões,9 reuniões,18 reuniões,"379.382,14",45113.84,50976.40,52735.60,50764.85,28872.48,40798.70,35963.33,15107.77,13877.11,44057.01,1115.05,,"1.079.379,91",110943.91,108857.07,110120.74,99024.19,107482.10,108590.38,108590.38,108590.38,108590.38,108590.38,,,"33.763,00",2
Mariana Carvalho,F,26/11/1986,53 dias,4 dias,4 dias,14 reuniões,4 reuniões,6 reuniões,"203.702,64",20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,,,,6249.12,322.34,,"1.087.643,97",110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,,,"33.763,00",1
Maria do Rosário,F,22/11/1966,77 dias,6 dias,9 dias,48 reuniões,12 reuniões,22 reuniões,"390.396,84",45949.20,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,20719.64,2187.10,,"1.090.821,34",108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,,,"33.763,00",
Marília Arraes,F,12/04/1984,64 dias,21 dias,7 dias,3 reuniões,5 reuniões,5 reuniões,"287.696,14",13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.20,14176.43,9508.71,10398.31,1283.91,,"1.069.269,96",108653.71,111429.12,111429.12,109087.10,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,,,"33.763,00",
Marina Santos,F,13/09/1980,90 dias,2 dias,0 dias,6 reuniões,1 reuniões,12 reuniões,"357.545,02",23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.00,39929.24,1014.20,,"1.114.463,33",111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,,,"33.763,00",
Maria Rosas,F,01/10/1965,62 dias,0 dias,0 dias,41 reuniões,0 reuniões,2 reuniões,"187.686,02",,,,18825.99,31183.42,39925.50,29239.92,24673.76,27178.62,16458.81,200.00,,"1.099.115,16",106936.54,107061.76,110238.71,111538.37,111538.37,109915.15,107599.10,111210.42,111538.37,111538.37,,,"33.763,00",
Natália Bonavides,F,15/06/1988,86 dias,6 dias,0 dias,16 reuniões,4 reuniões,15 reuniões,"339.385,80",31946.09,31413.95,72688.49,54961.85,61905.75,41735.22,31051.52,7935.30,2706.85,2967.78,73.00,,"1.028.961,46",106600.62,90902.30,96132.21,102664.33,98979.97,99242.75,104019.87,107795.14,111410.75,111213.52,,,"33.763,00",1
Norma Ayub,F,07/09/1959,,,,,,,"283.058,92",19354.87,22480.29,25213.93,34202.81,34648.47,33963.01,31584.22,23186.05,21829.52,33681.50,2914.25,,"1.086.780,10",109263.62,109263.62,109371.25,108682.13,108282.54,109497.38,106962.54,107480.28,107282.54,110694.20,,,"33.763,00",
Paula Belmonte,F,23/06/1973,87 dias,2 dias,3 dias,62 reuniões,6 reuniões,27 reuniões,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"1.035.760,26",105453.30,105634.73,105767.33,110422.17,109556.14,107546.98,94842.01,90556.61,98626.57,107354.42,,,"33.763,00",
Perpétua Almeida,F,28/12/1964,86 dias,4 dias,2 dias,56 reuniões,8 reuniões,27 reuniões,"397.294,72",40876.75,38531.07,65864.03,66620.97,53571.92,37080.29,43254.26,14245.86,16783.06,19979.66,486.85,,"1.103.492,51",111465.58,106860.33,104769.12,111544.45,111544.45,111544.45,111499.84,111405.91,111429.19,111429.19,,,"33.763,00",1
