nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Gelson Azevedo,M,10/01/1965,88 dias,0 dias,4 dias,17 reuniões,0 reuniões,13 reuniões,"320.500,73",17208.87,18142.04,73589.54,23955.82,60671.30,21380.73,24088.36,10719.92,15215.86,4613.07,50915.22,,"1.112.585,65",111429.10,111429.10,111429.10,111207.70,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,,,"33.763,00",
Genecias Noronha,M,13/03/1963,58 dias,31 dias,3 dias,0 reuniões,0 reuniões,0 reuniões,"182.956,80",6912.14,17143.52,35003.95,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,13322.11,0.00,,"1.012.113,82",92989.03,98109.44,100534.90,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,,,"33.763,00",
General Girão,M,08/05/1955,85 dias,4 dias,3 dias,47 reuniões,3 reuniões,6 reuniões,"363.091,99",37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11257.52,39833.77,899.43,,"1.114.542,85",111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,,,"33.763,00",
Geninho Zuliani,M,13/01/1976,51 dias,17 dias,24 dias,9 reuniões,17 reuniões,37 reuniões,"286.007,56",35715.90,40468.18,42837.22,40713.17,63995.25,18553.55,16151.75,15973.11,2755.29,8115.64,728.50,,"1.080.042,52",111641.38,111641.38,111641.38,106897.30,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18,,,"33.763,00",
Giacobo,M,17/12/1970,86 dias,1 dias,5 dias,13 reuniões,1 reuniões,7 reuniões,"369.972,81",27455.42,49074.18,58575.31,7832.83,52242.70,38497.82,8820.58,6333.82,4309.92,66740.23,50090.00,,"1.096.371,61",110392.00,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31,,,"33.763,00",1
Gervásio Maia,M,14/04/1975,81 dias,5 dias,6 dias,36 reuniões,5 reuniões,14 reuniões,"270.049,07",23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.00,10194.19,13781.20,1044.75,,"1.105.894,42",111615.50,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92,,,"33.763,00",
Gil Cutrim,M,26/10/1979,76 dias,5 dias,11 dias,22 reuniões,4 reuniões,27 reuniões,"406.001,14",46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12653.68,75041.50,0.00,,"1.115.308,02",111301.75,111301.75,111619.50,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56,,,"33.763,00",
General Peternelli,M,06/08/1954,89 dias,0 dias,3 dias,132 reuniões,0 reuniões,21 reuniões,"219.516,20",17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,9053.72,5578.56,7617.80,46.35,,"730.045,66",67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.80,54701.66,54701.66,,,"33.763,00",
Gilberto Abramo,M,06/08/1966,85 dias,2 dias,5 dias,19 reuniões,1 reuniões,6 reuniões,"276.601,65",18146.52,22003.33,27404.71,34209.75,32718.06,23558.03,15039.80,18280.76,12603.88,12846.34,59790.47,,"1.077.796,52",106564.34,106564.34,107092.65,108384.08,108384.08,108384.08,107270.71,108384.08,108384.08,108384.08,,,"33.763,00",
Gilson Marques,M,12/04/1981,88 dias,4 dias,0 dias,40 reuniões,5 reuniões,5 reuniões,"50.883,26",3483.84,5736.09,5095.21,6494.69,11767.82,7335.78,6816.37,1383.89,3.11,2766.46,0.00,,"798.657,16",78079.20,78079.20,78079.20,79784.92,80772.44,80772.44,80772.44,80772.44,80772.44,80772.44,,,"33.763,00",
Gilberto Nascimento,M,09/07/1956,65 dias,27 dias,0 dias,29 reuniões,3 reuniões,9 reuniões,"404.619,88",42667.83,49626.23,52149.16,48827.83,41954.56,33307.84,45287.25,30344.91,25638.80,28819.14,5996.33,,"1.077.002,90",110917.37,111198.75,111198.75,111198.75,106097.59,109244.31,100666.68,106570.48,106570.48,103339.74,,,"33.763,00",
Daniel Coelho,M,04/11/1978,91 dias,0 dias,1 dias,6 reuniões,0 reuniões,0 reuniões,"360.896,58",56899.01,47545.19,51524.56,44454.63,36128.30,30323.85,32107.75,22965.49,20599.99,18151.21,196.60,,"1.114.987,92",111319.00,111580.81,111580.81,111580.81,111332.51,111580.82,111559.70,111471.69,111474.71,111507.06,,,"33.763,00",
