nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Gutemberg Reis,M,09/09/1979,80 dias,0 dias,12 dias,28 reuniões,0 reuniões,19 reuniões,"333.354,79",31811.03,37058.19,39957.54,35397.82,39003.29,35548.76,35184.90,23289.89,18535.79,35373.06,2194.52,,"1.113.305,50",111586.82,111586.82,110729.78,110789.77,111586.82,111146.85,111458.26,111246.74,111586.82,111586.82,,,"33.763,00",
Haroldo Cathedral,M,11/05/1953,37 dias,0 dias,4 dias,0 reuniões,0 reuniões,0 reuniões,"206.440,60",36917.58,38592.67,38415.39,17064.17,,,,17838.49,26371.35,30980.95,260.00,,"1.101.382,47",110733.36,111538.36,111538.36,111538.36,111538.36,106037.07,108248.33,108152.26,111475.89,110582.12,,,"33.763,00",
Heitor Freire,M,08/10/1981,79 dias,13 dias,0 dias,21 reuniões,20 reuniões,30 reuniões,"438.893,06",44459.28,22147.14,58578.83,44388.99,47573.98,24699.86,52243.35,24034.75,32084.10,78682.78,10000.00,,"1.106.657,50",111447.23,110953.30,110359.50,110475.29,111481.10,109817.62,111314.25,111150.06,110377.84,109281.31,,,"33.763,00",1
Guiga Peixoto,M,13/11/1961,92 dias,0 dias,0 dias,20 reuniões,0 reuniões,12 reuniões,"258.696,75",20164.29,32606.94,20921.67,27096.29,44132.42,31276.49,28081.91,26381.12,12089.61,14392.38,1553.63,,"1.064.377,63",108657.03,110067.97,109025.07,109756.34,109965.86,101721.15,95424.72,107166.92,106267.03,106325.54,,,"33.763,00",
Heitor Schuch,M,25/03/1962,78 dias,12 dias,2 dias,27 reuniões,4 reuniões,4 reuniões,"321.812,45",17534.05,27229.69,43226.49,47628.10,71235.90,26290.08,28128.15,20506.74,19998.13,18646.87,1388.25,,"1.079.158,20",107595.60,107595.60,107595.60,110706.76,111653.64,111528.48,108951.61,106686.31,103422.30,103422.30,,,"33.763,00",
Hélio Leite,M,09/12/1957,86 dias,3 dias,3 dias,26 reuniões,0 reuniões,39 reuniões,"345.255,89",38353.51,33114.24,50848.23,40083.76,82360.81,17710.54,18649.82,15787.41,9334.72,38622.84,390.01,,"1.115.311,38",111538.26,111538.26,111538.26,111538.26,111538.26,111538.26,111538.26,111538.26,111538.26,111467.04,,,"33.763,00",
Helder Salomão,M,08/03/1964,88 dias,3 dias,1 dias,35 reuniões,9 reuniões,11 reuniões,"288.776,51",22858.70,46569.54,43715.68,35739.34,39193.71,25804.13,25901.62,20309.17,15007.85,13093.49,583.28,,"1.100.336,27",108620.67,108620.67,108620.67,108620.67,108620.67,111370.72,111465.55,111465.55,111465.55,111465.55,,,"33.763,00",1
Hélio Costa,M,03/03/1954,86 dias,6 dias,0 dias,41 reuniões,4 reuniões,11 reuniões,"365.514,32",30626.82,25895.84,42089.22,59253.62,53304.15,42968.62,28285.02,47223.51,18135.05,13981.26,3751.21,,"1.077.630,46",108966.57,108966.57,105181.11,107906.65,111392.87,111392.87,111392.87,110279.50,111392.87,90758.58,,,"33.763,00",
Hercílio Coelho Diniz,M,14/09/1963,55 dias,29 dias,8 dias,11 reuniões,21 reuniões,2 reuniões,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"827.780,45",59693.74,59290.57,59989.38,63388.82,84017.68,96088.28,107430.80,108274.93,108274.93,81331.32,,,"33.763,00",
Henrique Fontana,M,18/01/1960,87 dias,3 dias,2 dias,10 reuniões,2 reuniões,8 reuniões,"243.460,56",15878.57,12589.61,38772.48,30692.56,39615.05,29232.23,31433.45,19791.30,9180.71,16274.60,0.00,,"1.085.460,81",111204.73,110084.73,107446.09,105775.84,105862.69,107355.35,110206.59,105283.68,110660.36,111580.75,,,"33.763,00",
Herculano Passos,M,04/08/1956,87 dias,3 dias,2 dias,38 reuniões,8 reuniões,4 reuniões,"365.289,60",64568.22,41807.38,37578.21,27556.28,42217.44,32275.57,29438.11,26350.96,36350.30,26507.24,639.89,,"1.064.843,64",111004.62,107856.45,107856.45,110100.81,104656.25,104938.80,100880.76,102189.81,104938.80,110420.89,,,"33.763,00",
Hermes Parcianello,M,25/04/1958,76 dias,5 dias,11 dias,0 reuniões,0 reuniões,24 reuniões,"323.233,63",23550.01,91180.85,21686.73,22782.96,98142.11,27564.61,19639.11,9399.11,6442.33,2845.81,0.00,,"1.105.379,72",111531.28,111653.59,111465.33,111601.60,110761.67,111617.19,108353.75,111617.15,110465.86,106312.30,,,"33.763,00",
Hildo Rocha,M,22/04/1960,88 dias,3 dias,1 dias,47 reuniões,1 reuniões,12 reuniões,"330.754,16",37771.29,41668.52,63474.79,41172.58,35711.78,37398.45,27224.54,14043.48,2003.75,29767.50,517.48,,"1.010.908,87",111592.93,111592.93,111065.20,111592.93,111592.93,107958.49,84561.70,86983.92,86983.92,86983.92,,,"33.763,00",4
Hiran Gonçalves,M,19/06/1957,77 dias,4 dias,11 dias,27 reuniões,3 reuniões,18 reuniões,"375.045,21",34740.26,45379.55,50365.66,68428.93,60380.39,35706.97,31871.73,12574.08,14926.10,20671.54,0.00,,"1.028.036,37",81241.74,91423.62,101326.80,102815.66,102432.93,106282.44,110906.64,111574.66,111574.66,108457.22,,,"33.763,00",1
Hugo Leal,M,06/08/1962,83 dias,2 dias,7 dias,70 reuniões,1 reuniões,31 reuniões,"267.274,34",40671.93,32691.99,34664.43,37481.29,39390.80,39996.77,11917.66,7954.59,11414.08,10676.95,413.85,,"966.873,05",101280.05,101256.77,102301.08,103730.03,106151.93,99244.75,96057.39,87682.43,83827.22,85341.40,,,"33.763,00",
Benes Leocádio,M,22/04/1966,88 dias,3 dias,1 dias,35 reuniões,2 reuniões,6 reuniões,"352.784,66",32697.33,37181.80,51640.86,47232.83,43851.34,39594.20,33482.93,21709.18,17997.68,27006.51,390.00,,"1.070.001,74",110203.77,110203.77,106658.99,104203.11,106527.95,105841.47,105921.33,105964.18,107249.74,107227.43,,,"33.763,00",
Beto Faro,M,20/06/1969,82 dias,0 dias,10 dias,5 reuniões,0 reuniões,17 reuniões,"348.358,45",50640.64,51528.80,53130.42,38245.47,56264.93,15343.49,16815.59,14152.72,12879.36,11197.03,28160.00,,"1.107.132,60",111210.84,110666.21,109899.05,111210.84,111210.84,110568.67,110434.02,111210.84,111210.84,109510.45,,,"33.763,00",
Hugo Motta,M,11/09/1989,78 dias,9 dias,5 dias,0 reuniões,6 reuniões,18 reuniões,"304.004,53",42647.30,52115.97,50321.06,50233.24,33832.88,19843.09,21744.93,18363.15,3236.29,10960.30,706.32,,"1.116.001,70",111572.21,111586.88,111586.88,111586.88,111552.45,111623.28,111623.28,111623.28,111623.28,111623.28,,,"33.763,00",
Beto Pereira,M,14/11/1977,87 dias,2 dias,3 dias,29 reuniões,3 reuniões,42 reuniões,"317.620,57",31302.38,37733.45,46071.17,46424.41,43050.57,37786.28,29839.31,16128.37,5877.55,23407.08,0.00,,"1.114.088,41",111514.04,111586.80,110868.87,111514.00,111457.65,111586.78,110672.43,111629.28,111629.28,111629.28,,,"33.763,00",
Helio Lopes,M,28/03/1969,85 dias,2 dias,5 dias,11 reuniões,2 reuniões,19 reuniões,"333.128,93",26662.70,20129.73,23968.89,15959.57,126009.87,40424.07,19559.06,19728.52,21207.48,18877.17,601.87,,"1.080.153,53",100983.71,100983.71,105907.19,107619.71,109879.71,110955.90,110955.90,110955.90,110955.90,110955.90,,,"33.763,00",
Bilac Pinto,M,08/06/1963,80 dias,5 dias,7 dias,54 reuniões,3 reuniões,7 reuniões,"366.957,28",38107.55,39391.23,36766.95,36370.18,36320.33,35989.93,35978.06,36058.35,36004.29,35970.41,0.00,,"1.114.014,41",111532.26,111532.26,111532.26,111532.26,111532.26,110224.07,111532.26,111532.26,111532.26,111532.26,,,"33.763,00",
Bibo Nunes,M,09/01/1957,90 dias,2 dias,0 dias,33 reuniões,2 reuniões,21 reuniões,"442.619,00",36377.50,114136.35,111815.04,46216.96,43243.88,31393.94,31363.41,21004.27,5421.62,1646.03,0.00,,"978.080,61",107838.27,106661.35,107626.01,107100.08,108678.71,110863.76,102938.79,80792.43,71989.13,73592.08,,,"33.763,00",
Bosco Costa,M,28/09/1950,88 dias,2 dias,2 dias,37 reuniões,0 reuniões,9 reuniões,"381.415,21",31663.79,50001.03,50347.54,42678.14,42852.09,50270.89,42871.55,39751.16,27086.09,3892.93,0.00,,"1.096.871,16",109107.22,111544.51,111544.51,111544.51,111544.51,111544.51,111544.51,106200.33,104641.61,107654.94,,,"33.763,00",
Bira do Pindaré,M,01/11/1968,82 dias,10 dias,0 dias,21 reuniões,10 reuniões,26 reuniões,"395.081,21",20679.85,23825.08,34402.73,76284.21,96746.00,27251.80,28044.88,18372.93,31746.67,37651.58,75.48,,"1.115.746,50",111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,111574.65,,,"33.763,00",
Bohn Gass,M,05/02/1962,90 dias,2 dias,0 dias,24 reuniões,0 reuniões,15 reuniões,"362.192,59",30693.35,43896.78,51772.61,63215.02,45029.72,40093.42,35113.72,22679.14,13260.28,15328.65,1109.90,,"1.113.456,25",111641.36,111557.99,111508.13,111641.38,111641.38,110811.40,111604.98,111604.98,111604.98,109839.67,,,"33.763,00",
Beto Rosado,M,01/02/1982,77 dias,13 dias,2 dias,18 reuniões,9 reuniões,7 reuniões,"417.583,23",38508.13,49871.28,49026.92,51520.30,44584.40,32245.60,35040.79,36239.48,26275.26,54271.07,0.00,,"1.114.457,24",111436.53,111580.74,111495.03,111145.61,111498.95,111507.99,111507.99,111485.68,111392.71,111406.01,,,"33.763,00",
Bosco Saraiva,M,10/10/1959,71 dias,3 dias,18 dias,16 reuniões,1 reuniões,9 reuniões,"442.571,13",36572.34,70842.66,44263.27,65965.82,34723.62,32000.51,62345.58,33068.34,15213.66,45530.25,2045.08,,"1.112.738,23",111611.12,111611.12,109394.55,111611.12,111611.12,111393.56,111146.01,111574.73,111574.73,111210.17,,,"33.763,00",
Capitão Fábio Abreu,M,31/12/1972,90 dias,1 dias,1 dias,56 reuniões,0 reuniões,9 reuniões,"415.287,33",27176.43,43044.36,37886.06,54828.28,65451.97,38676.13,33219.21,38283.53,44917.64,30801.48,1002.24,,"1.112.307,70",111501.54,111425.25,109950.47,110995.45,111125.87,111505.00,111580.82,111580.83,111580.83,111061.64,,,"33.763,00",
Camilo Capiberibe,M,23/05/1972,89 dias,3 dias,0 dias,67 reuniões,5 reuniões,20 reuniões,"340.932,11",57270.81,54545.96,40139.58,50674.76,29912.43,32899.67,36174.05,9998.80,8076.55,21239.50,0.00,,"1.098.429,16",111508.06,111508.06,111508.06,111508.06,110034.25,109670.30,105908.91,110137.58,107941.38,108704.50,,,"33.763,00",
Bozzella,M,17/08/1980,83 dias,8 dias,1 dias,42 reuniões,5 reuniões,9 reuniões,"331.580,49",31567.57,39636.09,43735.10,36718.08,40304.87,30143.90,40029.84,26482.22,25062.37,16682.72,1217.73,,"1.108.661,55",111623.09,111642.57,107512.59,110707.93,111134.28,111357.59,110509.90,111392.57,111392.57,111388.46,,,"33.763,00",
Capitão Augusto,M,04/10/1966,85 dias,3 dias,4 dias,29 reuniões,2 reuniões,39 reuniões,"303.764,68",32590.99,32708.93,42982.94,38181.18,46093.18,19473.47,21678.43,15614.72,14321.17,37541.05,2578.62,,"1.109.989,13",111659.59,110586.80,107796.83,111659.59,111659.59,111659.59,110759.70,110888.26,111659.59,111659.59,,,"33.763,00",
Capitão Alberto Neto,M,05/05/1982,88 dias,2 dias,2 dias,66 reuniões,1 reuniões,3 reuniões,"268.303,10",10761.97,32144.12,50784.42,59974.73,36167.69,18635.29,18846.91,9376.93,3645.06,27765.98,200.00,,"1.108.460,75",111524.06,108183.95,109814.87,109505.49,111520.15,111370.71,111635.38,111635.38,111635.38,111635.38,,,"33.763,00",
Cacá Leão,M,03/11/1979,71 dias,5 dias,16 dias,12 reuniões,3 reuniões,14 reuniões,"370.012,26",30097.59,41252.22,49713.11,49721.69,45749.21,41212.41,38074.00,37034.37,15768.01,21168.63,221.02,,"1.084.232,34",107850.28,108483.94,109030.38,109215.09,109215.09,107121.98,105670.31,109215.09,109215.09,109215.09,,,"33.763,00",
Capitão Derrite,M,10/10/1984,90 dias,0 dias,2 dias,21 reuniões,0 reuniões,0 reuniões,"318.929,77",33369.05,48294.13,42375.69,37535.61,31336.58,34084.37,31084.94,27610.70,13353.72,19884.98,0.00,,"1.087.142,69",111429.18,111429.18,111078.93,111198.68,111198.68,111198.68,104902.34,104902.34,104902.34,104902.34,,,"33.763,00",
Capitão Wagner,M,21/01/1979,31 dias,0 dias,2 dias,0 reuniões,0 reuniões,1 reuniões,"226.591,14",55521.07,32236.66,11029.18,,,,12950.64,18376.97,6416.85,14045.83,76013.94,,"1.112.741,02",110473.50,110107.68,111586.87,111652.64,111665.79,110952.40,111665.74,111665.74,111665.74,111304.92,,,"33.763,00",
Carlos Bezerra,M,04/11/1941,29 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"192.492,79",17099.28,55229.53,0.00,,,,2047.03,848.36,647.00,59074.08,57547.51,,"1.115.384,57",111611.13,111611.13,111611.13,111611.13,111611.13,111611.13,110884.40,111611.13,111611.13,111611.13,,,"33.763,00",
Carlos Chiodini,M,08/03/1982,85 dias,4 dias,3 dias,25 reuniões,6 reuniões,8 reuniões,"264.102,62",21142.87,33080.35,34458.92,35659.60,28696.29,31410.11,38827.88,16920.33,11149.03,11990.98,766.26,,"1.088.228,66",110052.14,109597.20,107219.44,108994.73,109943.02,110230.95,107098.15,107098.15,107098.15,110896.73,,,"33.763,00",2
Carlos Henrique Gaguim,M,21/04/1961,79 dias,1 dias,12 dias,33 reuniões,1 reuniões,24 reuniões,"379.726,43",38480.40,54727.25,51686.19,49827.56,38169.71,34594.12,36583.75,31857.00,13993.12,27863.38,1943.95,,"1.014.767,71",107089.41,100838.78,96663.69,98112.79,100925.82,94627.79,96910.28,103302.09,107870.51,108426.55,,,"33.763,00",
Carlos Gomes,M,13/06/1972,92 dias,0 dias,0 dias,21 reuniões,2 reuniões,4 reuniões,"273.109,72",18748.87,25578.63,34691.71,31224.22,55517.35,34811.05,23121.54,21226.21,9739.25,16929.54,1521.35,,"1.012.698,46",92948.89,99271.45,96032.28,98637.08,102490.61,102621.52,102621.52,104715.99,106679.56,106679.56,,,"33.763,00",
Carlos Jordy,M,08/02/1982,84 dias,3 dias,5 dias,10 reuniões,0 reuniões,0 reuniões,"200.049,25",17012.14,21954.01,27544.00,16413.28,29052.38,31940.35,20649.20,10845.10,8771.04,14632.54,1235.21,,"1.079.427,92",107840.49,111522.26,105827.62,98809.78,110447.03,111102.14,104135.41,108845.03,110375.04,110523.12,,,"33.763,00",
Carlos Sampaio,M,31/03/1963,87 dias,1 dias,4 dias,14 reuniões,0 reuniões,5 reuniões,"317.099,50",25615.74,56684.49,51456.20,45438.40,42806.53,22600.90,21181.85,14951.58,15364.01,20999.80,0.00,,"1.059.385,24",103852.96,107767.17,108820.89,108820.89,108689.99,104762.85,103243.66,104762.85,104762.85,103901.13,,,"33.763,00",
José Guimarães,M,13/02/1957,87 dias,5 dias,0 dias,30 reuniões,1 reuniões,6 reuniões,"333.700,79",35580.92,49264.70,53330.78,44056.16,39099.98,40522.75,38743.31,5167.09,5484.15,22450.95,0.00,,"1.109.829,63",111580.82,111580.82,106516.85,111349.50,111617.20,111617.20,110824.75,111580.83,111580.83,111580.83,,,"33.763,00",
Jose Mario Schreiner,M,08/02/1961,90 dias,1 dias,1 dias,23 reuniões,1 reuniões,18 reuniões,"323.143,92",32378.68,34131.00,35150.44,34335.14,33895.08,34419.78,30802.48,30264.95,28822.57,28943.80,0.00,,"1.066.482,06",109957.51,110458.63,111653.60,110841.99,107595.56,106178.18,102628.43,103537.52,103537.52,100093.12,,,"33.763,00",
José Nelto,M,19/09/1960,76 dias,9 dias,7 dias,11 reuniões,6 reuniões,27 reuniões,"359.343,92",18842.70,31027.78,65930.97,33393.00,58347.09,9066.40,44447.74,45204.58,52635.69,447.97,0.00,,"1.109.765,59",111520.25,111520.25,111520.25,111520.25,111520.25,109841.23,111520.25,111134.58,111411.47,108256.81,,,"33.763,00",
José Ricardo,M,23/06/1964,87 dias,4 dias,1 dias,52 reuniões,1 reuniões,2 reuniões,"382.583,27",47539.51,48226.11,44947.97,40154.45,56607.85,45635.99,32568.83,18088.42,9458.98,36000.03,3355.13,,"1.116.596,60",111659.66,111659.66,111659.66,111659.66,111659.66,111659.66,111659.66,111659.66,111659.66,111659.66,,,"33.763,00",
Joseildo Ramos,M,23/08/1957,84 dias,3 dias,5 dias,33 reuniões,0 reuniões,2 reuniões,"400.810,51",60500.14,44516.13,51988.63,37649.80,23871.94,49876.84,34364.16,32616.98,28446.92,36561.73,417.24,,"1.113.579,40",110975.34,111192.49,111192.49,111134.29,111501.09,111538.26,111538.26,111538.26,111538.26,111430.66,,,"33.763,00",
José Rocha,M,18/08/1948,82 dias,10 dias,0 dias,43 reuniões,14 reuniões,30 reuniões,"354.547,78",25275.02,33000.03,37777.87,42689.97,36822.12,29942.35,43118.28,38255.35,34624.45,20042.34,13000.00,,"1.116.171,10",111617.11,111617.11,111617.11,111617.11,111617.11,111617.11,111617.11,111617.11,111617.11,111617.11,,,"33.763,00",1
José Medeiros,M,19/03/1970,91 dias,1 dias,0 dias,13 reuniões,0 reuniões,12 reuniões,"426.112,57",41612.96,57092.54,53792.40,51560.09,69600.74,44189.19,32055.20,28733.60,28925.42,18420.03,130.40,,"1.086.660,28",111465.46,107407.42,107407.42,109785.43,97298.23,106682.36,111653.49,111653.49,111653.49,111653.49,,,"33.763,00",1
José Priante,M,02/12/1963,74 dias,3 dias,15 dias,2 reuniões,0 reuniões,0 reuniões,"244.951,04",14028.01,21611.02,36293.55,46059.11,26042.21,30264.32,17847.28,45184.97,5617.88,1912.68,90.01,,"990.861,14",97088.45,100844.39,98958.69,98302.80,98302.80,98302.80,98302.80,101247.86,101450.97,98059.58,,,"33.763,00",
José Nunes,M,18/12/1950,37 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"154.388,84",51304.13,44699.63,41468.03,14382.59,0.00,,,,,,2534.46,,"435.131,91",111665.59,111589.78,111513.97,100362.57,0.00,0.00,0.00,0.00,0.00,0.00,,,"33.763,00",
Josias Gomes,M,14/10/1956,53 dias,14 dias,1 dias,14 reuniões,6 reuniões,8 reuniões,"255.965,94",,,,37812.96,42560.03,33851.36,34320.23,29429.08,28432.62,49159.66,400.00,,"763.624,57",0.00,0.00,0.00,102768.71,105042.36,111420.19,111471.35,110889.20,110889.20,111143.56,,,"33.763,00",
Josimar Maranhãozinho,M,13/11/1976,41 dias,0 dias,2 dias,0 reuniões,0 reuniões,0 reuniões,"164.211,32",36371.45,47905.56,52338.19,17061.07,,,,511.98,4108.54,3611.78,2302.75,,"1.100.076,94",111471.60,111471.60,110571.71,110320.31,111471.60,111471.60,111508.56,109200.21,106309.55,106280.20,,,"33.763,00",
Juarez Costa,M,20/01/1960,76 dias,14 dias,2 dias,30 reuniões,10 reuniões,4 reuniões,"292.602,49",33762.77,33266.96,40259.36,37858.68,49103.29,26328.45,25776.41,20924.48,16871.27,8450.82,0.00,,"1.107.779,47",111162.37,111162.37,111162.37,111162.37,111162.37,111162.37,111162.37,111162.37,109674.42,108806.09,,,"33.763,00",
Júlio Delgado,M,18/11/1966,91 dias,0 dias,1 dias,48 reuniões,0 reuniões,31 reuniões,"248.637,15",23586.52,35296.45,37276.65,34364.11,56841.53,17475.27,17669.93,11169.38,4631.02,9882.75,443.54,,"1.109.806,59",110986.45,110986.45,111235.30,111531.30,111550.51,109027.34,111593.02,110694.89,111562.28,110639.05,,,"33.763,00",
Julio Cesar Ribeiro,M,24/02/1975,87 dias,2 dias,3 dias,60 reuniões,6 reuniões,6 reuniões,"264.972,41",26890.10,28619.85,35118.26,31477.20,38418.47,33269.13,13143.92,14635.22,24623.70,18776.56,0.00,,"1.094.014,85",110759.02,105263.07,106792.55,108795.61,111223.92,109230.11,110628.48,110962.29,111235.06,109124.74,,,"33.763,00",
Julian Lemos,M,05/01/1976,82 dias,3 dias,7 dias,11 reuniões,2 reuniões,13 reuniões,"289.412,76",38644.26,43307.15,46413.68,34292.95,40271.63,18048.99,23755.06,10112.59,13734.90,20831.55,0.00,,"1.073.734,88",106277.34,110741.87,107850.38,102147.71,106945.98,111544.27,111280.11,111064.87,110913.41,94968.94,,,"33.763,00",
Josivaldo JP,M,29/11/1983,88 dias,4 dias,0 dias,29 reuniões,6 reuniões,0 reuniões,"285.152,49",21390.12,50216.34,69141.88,54516.89,31532.54,14146.15,9948.48,25223.10,5493.00,3348.14,195.85,,"1.087.475,42",109834.64,109133.04,108673.14,108126.11,109322.96,109689.09,110179.61,108448.10,109154.46,104914.27,,,"33.763,00",
Júlio Cesar,M,25/08/1948,86 dias,4 dias,2 dias,29 reuniões,1 reuniões,2 reuniões,"336.363,06",48212.84,33482.83,56838.12,35813.07,40211.43,44250.16,29186.93,16972.21,8076.85,23318.62,0.00,,"1.114.549,89",111538.26,111538.26,111538.26,111538.26,111538.26,111501.88,111501.88,111161.80,111501.88,111191.15,,,"33.763,00",
Juninho do Pneu,M,23/10/1976,90 dias,0 dias,2 dias,25 reuniões,0 reuniões,22 reuniões,"341.881,97",33072.15,34365.28,31977.44,39661.39,44814.09,26560.48,25486.90,17046.65,12279.37,74480.11,2138.11,,"1.112.183,77",108921.19,110894.43,111659.58,111659.58,111659.58,111659.58,111659.58,111430.45,111319.90,111319.90,,,"33.763,00",
Junio Amaral,M,30/06/1987,91 dias,1 dias,0 dias,30 reuniões,0 reuniões,0 reuniões,"181.155,78",18060.29,15136.46,25610.69,31335.45,31129.39,17956.64,18110.53,6532.70,3657.75,12777.63,848.25,,"1.058.167,42",111244.01,111568.64,104078.91,107929.17,107929.17,107929.17,104584.75,101899.75,98331.82,102672.03,,,"33.763,00",
Júnior Ferrari,M,13/07/1967,90 dias,0 dias,2 dias,9 reuniões,0 reuniões,3 reuniões,"101.898,88",8680.31,8762.84,8003.19,21597.73,19604.33,15478.69,6864.46,622.21,109.48,11725.84,449.80,,"1.110.371,24",110937.81,110937.81,110937.81,110654.13,111456.53,111089.43,111089.43,111089.43,111089.43,111089.43,,,"33.763,00",
Junior Lourenço,M,18/10/1978,54 dias,12 dias,26 dias,0 reuniões,1 reuniões,20 reuniões,"331.069,51",11881.07,43757.09,57829.96,32636.52,44333.41,47598.39,27942.49,30668.11,18880.73,15541.74,0.00,,"1.115.892,64",111524.91,111594.60,111623.20,111623.20,111592.68,111586.81,111586.81,111586.81,111586.81,111586.81,,,"33.763,00",
Júnior Mano,M,16/04/1985,67 dias,8 dias,17 dias,6 reuniões,3 reuniões,30 reuniões,"277.111,84",35529.67,16147.74,37180.59,37869.41,76496.63,42600.85,18616.90,5577.94,2414.69,4677.42,0.00,,"1.107.574,02",111053.08,111053.08,111053.08,111053.08,111053.08,111053.08,111053.08,110753.12,109724.67,109724.67,,,"33.763,00",
Juscelino Filho,M,06/11/1984,85 dias,4 dias,3 dias,1 reuniões,0 reuniões,1 reuniões,"391.234,28",39558.44,52848.98,44643.51,50698.44,48470.78,55791.11,40356.17,36000.27,18177.58,4637.09,51.91,,"1.109.745,44",110507.02,110507.02,111186.79,111532.15,110332.30,110764.64,111228.88,111228.88,111228.88,111228.88,,,"33.763,00",
Laercio Oliveira,M,15/04/1959,72 dias,14 dias,6 dias,16 reuniões,5 reuniões,7 reuniões,"311.444,97",20598.89,31888.12,37935.34,49827.18,37808.58,37653.44,39566.37,25894.47,5389.55,18814.62,6068.41,,"1.086.804,07",103604.23,107290.08,109521.54,109909.05,111647.51,111647.51,111647.51,107801.38,106867.63,106867.63,,,"33.763,00",
Lafayette de Andrada,M,17/10/1966,87 dias,5 dias,0 dias,59 reuniões,0 reuniões,27 reuniões,"384.049,42",29251.73,39861.64,52826.59,42134.64,41334.11,44226.72,44285.13,35678.49,26877.94,24405.70,3166.73,,"1.104.641,38",111544.46,111544.46,111544.46,111544.46,111263.26,110390.91,109863.03,108952.78,109202.03,108791.53,,,"33.763,00",
Kim Kataguiri,M,28/01/1996,84 dias,4 dias,4 dias,62 reuniões,3 reuniões,12 reuniões,"207.975,10",15889.67,9310.42,33877.21,35453.98,36648.40,30223.62,22699.49,16601.85,3139.41,4131.05,0.00,,"765.446,22",75731.76,77161.59,78158.12,78158.12,78158.12,78158.12,71671.03,74027.30,75335.08,78886.98,,,"33.763,00",1
Léo Motta,M,26/10/1973,79 dias,5 dias,8 dias,12 reuniões,1 reuniões,20 reuniões,"275.057,60",31696.46,33415.26,41054.56,36954.21,40691.83,31408.70,21963.05,10012.55,6213.10,20620.89,1026.99,,"1.074.173,97",111342.23,108446.45,105583.01,110106.32,109512.89,108231.60,106012.51,105725.06,103118.90,106095.00,,,"33.763,00",
Leonardo Monteiro,M,09/10/1951,90 dias,2 dias,0 dias,78 reuniões,2 reuniões,31 reuniões,"370.539,54",30287.88,38974.45,44293.05,49461.68,42783.49,32773.39,37659.13,39429.92,28141.96,26644.63,89.96,,"1.115.073,98",111277.54,111461.68,111544.44,111544.44,111544.44,111549.09,111399.39,111591.36,111580.80,111580.80,,,"33.763,00",
Leo de Brito,M,13/04/1979,86 dias,4 dias,2 dias,36 reuniões,5 reuniões,9 reuniões,"424.565,90",64865.56,69430.57,43427.25,44023.23,56266.09,40451.85,28627.98,32993.68,24136.85,19519.34,823.50,,"1.093.959,42",104448.63,109685.94,109463.10,109785.38,109997.68,108567.57,109778.55,109943.69,110738.33,111550.55,,,"33.763,00",
Leur Lomanto Júnior,M,28/10/1976,82 dias,6 dias,4 dias,29 reuniões,11 reuniões,43 reuniões,"350.641,16",30310.76,39689.23,42708.93,44491.12,47331.80,40167.99,35099.32,30877.77,25888.18,13973.40,102.66,,"1.095.791,23",111466.21,110033.89,110033.89,110625.91,111513.95,110154.40,103839.72,109962.87,110185.54,107974.85,,,"33.763,00",
Lincoln Portela,M,03/11/1953,86 dias,5 dias,1 dias,9 reuniões,0 reuniões,0 reuniões,"302.380,75",24877.94,37260.00,28541.76,33349.11,37659.28,37644.95,32037.05,27785.28,19637.79,23587.59,0.00,,"1.095.515,61",111204.76,111204.76,111204.76,110871.12,105937.25,106809.84,108941.95,109398.07,109763.49,110179.61,,,"33.763,00",
Leônidas Cristino,M,03/06/1957,85 dias,7 dias,0 dias,48 reuniões,5 reuniões,18 reuniões,"283.122,63",32267.47,34350.83,36617.13,40189.49,36516.96,25613.05,35368.62,14652.50,7798.15,18180.68,1567.75,,"1.004.787,48",95364.13,97315.51,97580.89,100457.10,101325.85,102548.80,102548.80,102548.80,102548.80,102548.80,,,"33.763,00",
Loester Trutis,M,21/09/1982,66 dias,1 dias,25 dias,8 reuniões,0 reuniões,0 reuniões,"427.961,76",51222.08,55278.77,68803.71,41378.22,24009.95,28151.93,27178.56,45367.11,40789.46,45377.79,404.18,,"1.058.613,72",108697.08,108954.19,109105.86,109798.14,111299.32,95357.90,101706.13,105392.98,105314.71,102987.41,,,"33.763,00",
